QualifiedStatus,AttainedAge,Gender,Benefit_Base,Utilized_AV,Utilized,Election_exp_AV,Election_exp,n
N,18,F,0,0,0,7211.50684931507,1.01917808219178,2
N,18,M,0,0,0,6244.1095890411,0.194520547945205,1
N,19,F,0,0,0,0,0.871232876712329,1
N,19,M,0,0,0,11329.8254794521,0.901369863013699,2
N,20,F,0,0,0,49222.6884657534,1.7041095890411,3
N,20,M,0,0,0,13274.2256712329,0.452054794520548,2
N,22,M,0,0,0,87202.7397260274,0.926027397260274,2
N,23,M,0,0,0,110468.828821918,0.832876712328767,2
N,24,F,0,0,0,15218.7016438356,1.59178082191781,2
N,24,M,0,0,0,5439.4154520548,0.424657534246575,2
N,25,F,0,0,0,64598.5317534247,1.11780821917808,2
N,25,M,0,0,0,8591.91780821918,0.293150684931507,2
N,26,F,0,0,0,1693.15068493151,0.282191780821918,1
N,26,M,0,0,0,17589.0410958904,0.547945205479452,1
N,27,F,0,0,0,4078.20997260274,0.276712328767123,2
N,27,M,0,0,0,22907.8438356164,0.476712328767123,2
N,28,M,0,0,0,9673.97260273973,0.0904109589041096,1
N,29,F,0,0,0,1749.52010958904,0.221917808219178,1
N,29,M,0,0,0,9424.93150684931,0.841095890410959,3
N,30,F,0,0,0,1617.12506849315,1.86575342465753,3
N,30,M,0,0,0,16002.4544109589,1.58904109589041,3
N,31,M,0,0,0,88487.0182465754,2.17534246575342,4
N,32,F,0,0,0,33917.5342465753,0.356164383561644,1
N,32,M,0,0,0,65022.055890411,0.668493150684932,1
N,33,F,0,0,0,70461.6418082192,0.698630136986301,2
N,33,M,0,0,0,10636.9981917808,0.835616438356164,2
N,34,F,0,0,0,27740.8316164384,2.08767123287671,4
N,34,M,0,0,0,5382.19178082192,1.26849315068493,3
N,35,F,0,0,0,154910.495808219,2.21095890410959,5
N,35,M,0,0,0,4547.70257534247,0.416438356164384,1
N,36,F,0,0,0,160505.165561644,2.17534246575342,3
N,36,M,0,0,0,46093.5364931507,1.53150684931507,4
N,37,F,0,0,0,43581.0121369863,2.48767123287671,6
N,37,M,0,0,0,80664.7624109589,0.361643835616438,1
N,38,F,0,0,0,12781.9663561644,0.904109589041096,2
N,38,M,0,0,0,54998.9117808219,1.23287671232877,5
N,39,F,0,0,0,3869.58904109589,0.361643835616438,1
N,39,M,0,0,0,14322.8701917808,0.734246575342466,3
N,40,F,0,0,0,86651.4966849315,4.38904109589041,8
N,40,M,0,0,0,41201.4766027397,2.84383561643836,5
N,41,F,0,0,0,46661.8580273973,3.55342465753425,8
N,41,M,0,0,0,60155.3690958904,1.55342465753425,5
N,42,F,0,0,0,316139.302109589,5.8986301369863,8
N,42,M,0,0,0,342450.254958904,1.17260273972603,5
N,43,F,0,0,0,234009.978767123,4.57260273972603,9
N,43,M,0,0,0,168757.699315069,4.61643835616438,11
N,44,F,0,0,0,266078.505013699,4.7972602739726,10
N,44,M,0,0,0,460988.028821918,3.98904109589041,10
N,45,F,0,0,0,244225.08890411,3.71506849315069,10
N,45,M,0,0,0,150589.986356164,7.75342465753425,12
N,46,F,0,0,0,281881.302630137,5.66575342465754,12
N,46,M,0,0,0,64180.7030958904,4.51780821917808,8
N,47,F,0,0,0,549969.380767123,8.42191780821918,18
N,47,M,0,0,0,190587.787561644,9.47397260273973,17
N,48,F,0,0,0,675974.444849315,13.6219178082192,26
N,48,M,0,0,0,387793.465260274,10.1561643835616,24
N,49,F,0,0,0,171484.27890411,11.0849315068493,18
N,49,M,0,0,0,365770.194712329,13.1068493150685,24
N,50,F,0,0,0,3239601.3044281,38.2496294632832,79
N,50,M,0,0,0,2519289.63000621,27.6753050378022,62
N,51,F,0,0,0,2796548.66532308,38.4007036454825,89
N,51,M,0,0,0,2122022.23851448,41.4117823190358,82
N,52,F,0,0,0,3114501.73465746,53.262414851411,114
N,52,M,0,0,0,4075284.63150857,43.3166629238715,89
N,53,F,0,0,0,3569340.72356082,52.6758739426604,114
N,53,M,0,0,0,2851080.82648716,45.4717194400779,89
N,54,F,0,0,0,4327546.96264698,63.1566958604686,131
N,54,M,0,0,0,3202619.92948754,55.4460139231978,108
N,55,F,0,0,0,4532107.74182723,64.6805224941986,138
N,55,M,0,0,0,7536812.62756673,65.7296204805749,151
N,56,F,0,0,0,5792294.41664833,90.0682835541582,174
N,56,M,0,0,0,7259004.9385201,68.5210869077027,153
N,57,F,0,0,0,9162827.68594918,109.468837487836,226
N,57,M,0,0,0,7063317.97154151,97.0459914664271,194
N,58,F,0,12128.97,1.61902088479677,8598792.04882963,133.908331461936,254
N,58,M,0,18396.2576164384,0.687671232876712,6838885.60110742,94.3259450557676,209
N,59,F,0,294350.315890411,0.961643835616438,10901830.3389363,147.682955311026,307
N,59,M,0,53279.9156227263,0.63186615764653,8803317.9555055,113.096436859046,242
N,60,F,0,228429.951450258,3.52745714499588,9981254.48139815,148.228475185268,310
N,60,M,0,120137.953032787,0.565573770491803,10994139.8197497,117.873748035033,256
N,61,F,0,246826.382343214,1.80515757167453,9878895.23238812,139.281600419193,298
N,61,M,0,103457.943452055,1.25811812261397,10106420.8131771,138.418556778202,278
N,62,F,0,819580.899547571,1.45922598996931,11398515.1952257,170.608054495097,349
N,62,M,0,103959.155490007,0.251448461711206,9684478.30132876,148.051822741223,316
N,63,F,0,47625.3290860094,1.29036604536268,12260765.3539055,174.603780223071,360
N,63,M,0,168151.904860019,1.93493524964443,11167865.4161956,162.23198592709,331
N,64,F,0,545619.770091175,4.76363500261996,14722273.8277271,216.185335728722,456
N,64,M,0,1727561.91464331,2.30481323452354,16179213.780655,198.814005539337,403
N,65,F,0,223039.653069841,3.83798188487162,13564914.6945012,226.521296504229,461
N,65,M,0,160216.072819148,2.62301818998428,15503190.4707879,182.840497043192,391
N,66,F,0,513173.202901265,4.52083988322479,10876528.4187938,200.403967362827,396
N,66,M,0,1284809.92338648,6.27677969907927,13554784.8379439,202.577303690396,394
N,67,F,0,259138.476509469,4.97286473538439,13370740.507812,185.788988696759,400
N,67,M,0,246555.002304065,3.79610749307583,13164403.4544107,182.595194251067,368
N,68,F,0,741106.922382214,3.27639793397709,14095005.5616045,194.270514260049,410
N,68,M,0,352168.720092073,4.899498465454,13165880.0703431,164.890732839284,353
N,69,F,0,1066580.4893766,6.25577513286923,16247326.1217602,223.903353544427,456
N,69,M,0,837468.99952197,7.79412381166255,11102885.0102542,167.542054045962,354
N,70,F,0,1579436.58364458,13.2831424507822,16275355.0660394,231.445340220076,467
N,70,M,0,245407.82789378,3.01030017216858,11503891.272149,178.050011228385,362
N,71,F,0,1088127.56076293,10.7511116101505,11267132.9114187,188.874496594056,377
N,71,M,0,612620.761619807,4.43908226663672,11151712.7686765,170.388644359608,360
N,72,F,0,1189339.88221439,7.08002095965267,15438048.4060706,199.797761808519,414
N,72,M,0,260202.287430721,3.69681113855828,13460025.2107941,182.17398008833,366
N,73,F,0,943334.378699603,4.09230481323452,14342644.6433297,193.147293959128,399
N,73,M,0,423400.875554233,5.59061306984056,10478452.7775807,164.457309678868,317
N,74,F,0,970859.724381391,5.74298974474137,11760747.8917364,178.779279886219,368
N,74,M,0,115937.516394341,3.85120143723333,8527869.62688442,163.975260124261,321
N,75,F,0,655752.824294558,7.28773860318886,12193799.5604756,186.123287671233,382
N,75,M,0,575154.063506625,4.77552211991916,9842397.79348379,149.511041245602,310
N,76,F,0,299592.560585972,5.48000598847219,7553392.99047706,133.150063627517,282
N,76,M,0,865167.933806797,4.40675948798563,8389711.69501422,127.650205853732,259
N,77,F,0,858847.253902089,5.21257579160117,8778468.19904125,138.237974399281,279
N,77,M,0,101653.781571076,1.89267909274646,6722471.65447915,108.942720263493,226
N,78,F,0,302017.026351149,3.61152780896774,9038016.43926319,138.374691219403,271
N,78,M,0,930206.151358709,6.61554008533573,7122776.46752511,134.498181001572,254
N,79,F,0,1816245.65952167,8.47386031888615,10519868.8449847,134.763575117898,287
N,79,M,0,531205.199063104,2.06649449809117,7730293.67167729,115.230181899843,236
N,80,F,0,588052.706612771,9.52150610075605,8073749.37550902,115.296287147241,234
N,80,M,0,393983.912070739,5.97075379893705,5255937.25877364,74.5890860094318,151
N,81,F,0,5189.45789617486,0.969331536791676,850453.168522869,7.36331312223969,17
N,81,M,0,0,0,140293.933260274,3.23287671232877,7
N,82,M,0,0,0,8261.72991780822,0.104109589041096,1
Q,18,M,0,0,0,3413.18150684932,0.726027397260274,2
Q,19,F,0,0,0,889.041095890411,1.15068493150685,2
Q,22,F,0,0,0,54.9432328767123,0.010958904109589,1
Q,22,M,0,0,0,2903.9458630137,0.515068493150685,2
Q,23,F,0,0,0,13341.8094246575,0.619178082191781,3
Q,24,F,0,0,0,2531.61046575343,0.449315068493151,2
Q,24,M,0,0,0,2296.11353424658,0.158904109589041,1
Q,25,F,0,0,0,1322.87273972603,0.145205479452055,2
Q,25,M,0,0,0,4018.63068493151,0.367123287671233,2
Q,26,F,0,0,0,11954.4517808219,3.42465753424658,7
Q,26,M,0,0,0,16811.9271232877,2.02191780821918,7
Q,27,F,0,0,0,12615.124109589,1.21369863013699,6
Q,27,M,0,0,0,18753.6402191781,0.649315068493151,2
Q,28,F,0,0,0,13579.7918082192,2.06301369863014,6
Q,28,M,0,0,0,18583.9290958904,1.53424657534247,5
Q,29,F,0,0,0,16772.3879178082,2.85753424657534,9
Q,29,M,0,0,0,14011.9941643836,2.5972602739726,4
Q,30,F,0,0,0,34055.5593972603,3.28767123287671,8
Q,30,M,0,0,0,24288.289260274,3.01095890410959,8
Q,31,F,0,0,0,54489.4543013699,3.64109589041096,10
Q,31,M,0,0,0,253500.598082192,4.05479452054795,13
Q,32,F,0,0,0,102513.136630137,4.78356164383562,14
Q,32,M,0,0,0,93202.7793424657,5.28219178082192,13
Q,33,F,0,0,0,69756.4256164384,4.15616438356164,11
Q,33,M,0,0,0,42102.3732876712,2.39178082191781,9
Q,34,F,0,0,0,111804.361342466,6.18082191780822,17
Q,34,M,0,0,0,124991.754958904,5.24657534246575,19
Q,35,F,0,0,0,131055.515315068,7.8027397260274,21
Q,35,M,0,0,0,126556.260493151,6.85753424657534,21
Q,36,F,0,0,0,93557.4230958904,10.3287671232877,27
Q,36,M,0,0,0,80515.2295342466,4.73972602739726,12
Q,37,F,0,0,0,86796.3618630137,2.62191780821918,15
Q,37,M,0,0,0,43936.490109589,3.79452054794521,11
Q,38,F,0,0,0,199167.381753425,6.05205479452055,16
Q,38,M,0,0,0,174252.356383562,9.24383561643836,21
Q,39,F,0,0,0,104177.997479452,6.88767123287671,21
Q,39,M,0,0,0,182219.607315069,5.44109589041096,16
Q,40,F,0,0,0,544259.552027397,12.5780821917808,30
Q,40,M,0,0,0,180552.343068493,11.2986301369863,27
Q,41,F,0,0,0,411630.072383562,16.4657534246575,42
Q,41,M,0,0,0,216679.661260274,12.0575342465753,32
Q,42,F,0,0,0,440208.672,19.958904109589,47
Q,42,M,0,0,0,489844.52969863,14.3397260273973,38
Q,43,F,0,0,0,454747.171178082,13.558904109589,39
