Month,BOP_AV,BOP_BB,Lives,Mortality,Lapse,PWD,RiderCharges,SurrCharges,Interest,EOP_AV,Expenses,AgentComm,IMOOverride,WholesalerOverride,BonusComp,Chargebacks,HedgeGains,NetCashflow
1,100000000.00,130000000.00,806.57314264,47171.86,0.00,46323.02,0.00,0.00,56555.78,99963060.90,20825.64,6785771.95,2562281.97,341637.60,0.00,4260.03,1127.56,90223337.18
2,99963060.90,129938673.06,806.00335317,47073.50,17610.82,46293.63,0.00,1741.73,56630.85,99906972.07,20813.95,0.00,0.00,0.00,0.00,6124.98,1605.32,-102464.84
3,99906972.07,129852326.31,805.43442346,46972.98,17611.57,46258.77,0.00,1741.80,56695.14,99851082.09,20802.31,0.00,0.00,0.00,0.00,6116.06,1620.37,-102273.33
4,99851082.09,129766113.21,804.86635134,46872.76,17612.49,46224.04,0.00,1741.89,56759.55,99795390.46,20790.71,0.00,0.00,0.00,0.00,6107.15,1635.55,-102082.40
5,99795390.46,129680033.43,804.29913466,46772.85,17613.58,46189.42,0.00,1742.00,56824.10,99739896.71,20779.15,0.00,0.00,0.00,0.00,6098.27,1650.89,-101892.05
6,99739896.71,129594086.65,803.73277126,46673.24,17614.84,46154.92,0.00,1742.13,56888.77,99684600.35,20767.63,0.00,0.00,0.00,0.00,6089.41,1666.37,-101702.27
7,99684600.35,129508272.55,803.16725899,46573.93,17616.28,46120.54,0.00,1742.27,56953.57,99629500.89,20756.15,0.00,0.00,0.00,0.00,3040.28,1682.00,-104553.35
8,99629500.89,129422590.80,802.60259571,46474.93,17617.89,46086.28,0.00,1742.43,57018.51,99574597.86,20744.71,0.00,0.00,0.00,0.00,3035.87,1697.78,-104360.29
9,99574597.86,129337041.09,802.03877928,46376.23,17619.68,46052.14,0.00,1742.61,57083.57,99519890.77,20733.31,0.00,0.00,0.00,0.00,3031.47,1713.71,-104167.81
10,99519890.77,129251623.09,801.47580757,46277.83,17621.64,46018.12,0.00,1742.80,57148.76,99465379.14,20721.95,0.00,0.00,0.00,0.00,3027.08,1729.80,-103975.90
11,99465379.14,129166336.48,800.91367846,46179.73,17623.78,45984.22,0.00,1743.01,57214.09,99411062.49,20710.64,0.00,0.00,0.00,0.00,3022.70,1746.04,-103784.55
12,99411062.49,129081180.95,800.35238983,46052.52,17617.65,45950.44,730731.37,1742.41,57279.54,98626247.64,20547.13,0.00,0.00,0.00,0.00,3018.33,21629.57,699461.53
13,98626247.64,138255381.34,799.62865382,52455.49,29898.19,146026.48,0.00,2795.29,2831773.77,101226845.96,21088.93,0.00,0.00,0.00,478254.16,0.00,350839.60,-353929.28
14,101226845.96,138034346.77,798.94088704,52279.58,26421.79,145881.97,0.00,2470.27,56916.02,101056708.36,21053.48,0.00,0.00,0.00,0.00,0.00,3824.15,-218547.35
15,101056708.36,137818882.61,798.24215041,52104.82,27592.79,145739.64,0.00,2579.75,56916.21,100885607.57,21017.83,0.00,0.00,0.00,0.00,0.00,3901.85,-219450.06
16,100885607.57,137602069.87,797.54453928,51930.36,27560.47,145596.73,0.00,2576.73,56916.40,100714859.68,20982.26,0.00,0.00,0.00,0.00,0.00,3937.40,-218894.79
17,100714859.68,137385698.93,796.84805078,51756.52,27528.49,145454.26,0.00,2573.74,56916.59,100544463.24,20946.76,0.00,0.00,0.00,0.00,0.00,3973.28,-218341.15
18,100544463.24,137169768.72,796.15268205,51583.29,27496.87,145312.25,0.00,2570.78,56916.78,100374416.83,20911.34,0.00,0.00,0.00,0.00,0.00,4009.50,-217789.14
19,100374416.83,136954278.13,795.45843020,51410.66,27465.60,145170.68,0.00,2567.86,56916.98,100204719.00,20875.98,0.00,0.00,0.00,0.00,0.00,4046.06,-217238.73
20,100204719.00,136739226.10,794.76529240,51238.64,27434.69,145029.56,0.00,2564.97,56917.17,100035368.31,20840.70,0.00,0.00,0.00,0.00,0.00,4082.96,-216689.92
