Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0015996,0.012,0.000113895,0.09,0,0,0,0.083333333,45.59549486,45.59549486,59.27414332,-5.012775511,-0.347151629,0,0,0.00226328,0,0.076923077,0.999886105,0.999886105,0.999886105,0.001924415,45.69869022,0.005204863,0,0,0,0,0.103195355,45.69348535,0.009519476,4.586906783,0.000522427,0,40.99438617,0,0
2,1,2,57,0.0015996,0.012,0.000113781,0.09,0,0,0,0.083333333,,45.69348535,59.26739228,-5.012775511,-0.347151629,0.000392617,0,0.00226328,0,0.076923077,0.999493647,0.999493647,0.999493647,0.001924196,45.79690249,0.005210341,0.016360959,0,0,0.001618117,0.103417135,45.77371307,0.00953619,0,0.002322331,0,-0.028785159,0,0
3,1,3,57,0.0015996,0.012,0.000113666,0.09,0,0,0,0.083333333,,45.77371307,59.23738203,-5.012775511,-0.343754612,0.000393956,0,0.00226328,0,0.076923077,0.999492422,0.999492422,0.999492422,0.001923222,45.87731178,0.005214237,0.016445577,0,0,0.001626486,0.103598713,45.85402548,0.009552922,0,0.002326768,0,-0.028885969,0,0
4,1,4,57,0.0015996,0.012,0.000113552,0.09,0,0,0,0.083333333,,45.85402548,59.20731446,-5.012775511,-0.340365266,0.000395297,0,0.00226328,0,0.076923077,0.999491196,0.999491196,0.999491196,0.001922246,45.95780597,0.00521813,0.016530486,0,0,0.001634883,0.103780482,45.93442247,0.009569671,0,0.002331204,0,-0.028987084,0,0
5,1,5,57,0.0015996,0.012,0.000113438,0.09,0,0,0,0.083333333,,45.93442247,59.17718956,-5.012775511,-0.336983574,0.000396639,0,0.00226328,0,0.076923077,0.999489969,0.999489969,0.999489969,0.001921268,46.03838491,0.00522202,0.016615686,0,0,0.00164331,0.103962443,46.01490389,0.009586438,0,0.002335639,0,-0.029088505,0,0
6,1,6,57,0.0015996,0.012,0.000113323,0.09,0,0,0,0.083333333,,46.01490389,59.14700734,-5.012775511,-0.333609519,0.000397982,0,0.00226328,0,0.076923077,0.99948874,0.99948874,0.99948874,0.001920288,46.11904849,0.005225906,0.016701177,0,0,0.001651765,0.104144595,46.09546964,0.009603223,0,0.002340074,0,-0.029190231,0,0
7,1,7,57,0.0015996,0.012,0.000113209,0.09,0,0,0,0.083333333,,46.09546964,59.11676782,-5.012775511,-0.330243082,0.000399327,0,0.00226328,0,0.076923077,0.999487509,0.999487509,0.999487509,0.001919306,46.19979658,0.005229789,0.016786959,0,0,0.001660249,0.104326938,46.17611958,0.009620025,0,0.001172254,0,-0.030464518,0,0
8,1,8,57,0.0015996,0.012,0.000113095,0.09,0,0,0,0.083333333,,46.17611958,59.08647098,-5.012775511,-0.326884248,0.000400674,0,0.00226328,0,0.076923077,0.999486276,0.999486276,0.999486276,0.001918322,46.28062906,0.005233668,0.016873033,0,0,0.001668762,0.104509471,46.25685359,0.009636844,0,0.001174471,0,-0.030569074,0,0
9,1,9,57,0.0015996,0.012,0.000112982,0.09,0,0,0,0.083333333,,46.25685359,59.05611686,-5.012775511,-0.323532998,0.000402022,0,0.00226328,0,0.076923077,0.999485042,0.999485042,0.999485042,0.001917337,46.36154579,0.005237543,0.016959399,0,0,0.001677303,0.104692195,46.33767154,0.009653682,0,0.001176688,0,-0.030673936,0,0
10,1,10,57,0.0015996,0.012,0.000112868,0.09,0,0,0,0.083333333,,46.33767154,59.02570544,-5.012775511,-0.320189316,0.000403371,0,0.00226328,0,0.076923077,0.999483806,0.999483806,0.999483806,0.001916349,46.44254665,0.005241415,0.017046057,0,0,0.001685874,0.104875109,46.41857331,0.009670536,0,0.001178904,0,-0.030779104,0,0
