Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0015995999999999999,0.015,0.00011389523160787451,0.09,0,0,0,0.08333333333333333,136.7864846,136.7864846,177.82243,-5.012775510722907,-0.34715162928357596,0,0,0,0,0,0.9998861047683921,0.9998861047683921,0.9998861047683921,0.005772588454809701,136.7864846,0.01557932834434396,0,0,0,0,0,136.77090527165566,0.004811038333333333,6.83932423,0,0,129.9422593883716,0,0
2,1,2,57,0.0015995999999999999,0.015,0.00011378063340217182,0.09,0,0,0,0.08333333333333333,0,136.77090527165566,177.80217687315007,-5.012775510722907,-0.34715162928357596,0.00039261742686669265,0,0,0,0,0.9993798090516193,0.9993798090516193,0.9993798090516193,0.005769665485088025,136.77090527165566,0.015560507430633438,0.04886145248964006,0,0,0.004832451345129236,0,136.70165086039026,0.004810490379008083,0,0,0,-0.005154476088236745,0,0
3,1,3,57,0.0015995999999999999,0.015,0.00011366615057406548,0.09,0,0,0,0.08333333333333333,0,136.70165086039026,177.71214613849492,-5.012775510722907,-0.3471516292835757,0.00039261742686669265,0,0,0,0,0.9988738840663046,0.9988738840663046,0.9988738840663046,0.005766744655690256,136.70165086039026,0.015536980773500979,0.04883671468948783,0,0,0.0048300047495097856,0,136.63244716017775,0.004808054570906687,0,0,0,-0.005151601748071003,0,0
4,1,4,57,0.0015995999999999999,0.015,0.00011355178300731517,0.09,0,0,0,0.08333333333333333,0,136.63244716017775,177.62218132820854,-5.012775510722907,-0.3471516292835757,0.00039261742686669265,0,0,0,0,0.9983683293938469,0.9983683293938469,0.9983683293938469,0.005763825964199708,136.63244716017775,0.015513491472888271,0.048811995000592495,0,0,0.0048275599451135425,0,136.56329411375916,0.004805620546408547,0,0,0,-0.00514872989624066,0,0
5,1,5,57,0.0015995999999999999,0.015,0.00011343753058568051,0.09,0,0,0,0.08333333333333333,0,136.56329411375916,177.53228236785426,-5.012775510722907,-0.34715162928357596,0.00039261742686669265,0,0,0,0,0.9978631446162743,0.9978631446162743,0.9978631446162743,0.005760909408203327,136.56329411375916,0.015490039465121981,0.048787293402532406,0,0,0.004825116929920787,0,136.49419166396157,0.0048031883034997565,0,0,0,-0.005145860529350873,0,0
6,1,6,57,0.0015995999999999999,0.015,0.00011332339319314322,0.09,0,0,0,0.08333333333333333,0,136.49419166396157,177.4424491831073,-5.012775510722907,-0.34715162928357596,0.00039261742686669265,0,0,0,0,0.9973583293162442,0.9973583293162442,0.9973583293162442,0.005757994985291689,136.49419166396157,0.015466624686645123,0.048762609874863125,0,0,0.004822675701909539,0,136.42513975369815,0.004800757840169439,0,0,0,-0.005142993644012686,0,0
7,1,7,57,0.0015995999999999999,0.015,0.00011320937071368498,0.09,0,0,0,0.08333333333333333,0,136.42513975369815,177.35268169975475,-5.012775510722907,-0.34715162928357596,0.00039261742686669265,0,0,0,0,0.996853883077041,0.996853883077041,0.996853883077041,0.005755082693058995,136.42513975369815,0.015443247074017136,0.04873794439721379,0,0,0.0048202362590650995,0,136.35613832596786,0.0047983291544097416,0,0,0,-0.005140129236843517,0,0
8,1,8,57,0.0015995999999999999,0.015,0.00011309546303150952,0.09,0,0,0,0.08333333333333333,0,136.35613832596786,177.2629798436953,-5.012775510722907,-0.34715162928357596,0.00039261742686669265,0,0,0,0,0.9963498054825757,0.9963498054825757,0.9963498054825757,0.005752172529103057,136.35613832596786,0.015419906563926956,0.04871329694923349,0,0,0.00481779859937474,0,136.28718732385533,0.0047959022442158284,0,0,0,-0.005137267304466943,0,0
9,1,9,57,0.0015995999999999999,0.015,0.00011298167003093162,0.09,0,0,0,0.08333333333333333,0,136.28718732385533,177.1733435409389,-5.012775510722907,-0.34715162928357596,0.00039261742686669265,0,0,0,0,0.9958460961173847,0.9958460961173847,0.9958460961173847,0.005749264491025306,136.28718732385533,0.015396603093170855,0.048688667510569786,0,0,0.004815362720825583,0,136.21828669053076,0.004793477107585881,0,0,0,-0.005134407843512454,0,0
10,1,10,57,0.0015995999999999999,0.015,0.00011286799159626604,0.09,0,0,0,0.08333333333333333,0,136.21828669053076,177.0837727176069,-5.012775510722907,-0.3471516292835757,0.00039261742686669265,0,0,0,0,0.9953427545666287,0.9953427545666287,0.9953427545666287,0.00574635857643077,136.21828669053076,0.015373336598664198,0.04866405606095433,0,0,0.004812928621413065,0,136.14943636924974,0.004791053742521089,0,0,0,-0.005131550850615949,0,0
